"dv","between","ID","within"
3,"age8","1","1"
1,"age8","2","1"
4,"age8","3","1"
4,"age10","4","1"
5,"age10","5","1"
5,"age10","6","1"
6,"age12","7","1"
5,"age12","8","1"
7,"age12","9","1"
2,"age8","1","2"
2,"age8","2","2"
5,"age8","3","2"
5,"age10","4","2"
6,"age10","5","2"
7,"age10","6","2"
6,"age12","7","2"
6,"age12","8","2"
8,"age12","9","2"
3,"age8","1","3"
1,"age8","2","3"
5,"age8","3","3"
4,"age10","4","3"
5,"age10","5","3"
6,"age10","6","3"
7,"age12","7","3"
6,"age12","8","3"
8,"age12","9","3"
3,"age8","1","4"
2,"age8","2","4"
5,"age8","3","4"
6,"age10","4","4"
6,"age10","5","4"
7,"age10","6","4"
8,"age12","7","4"
8,"age12","8","4"
9,"age12","9","4"
